"Date","GSPC","N225","FTSE","FCHI","GDAXI","SSE","BSE","HSI","TWII","MOEX"
2015-05-22,2126.06005859375,20264.41015625,7031.7001953125,5142.89013671875,11815.009765625,4657.59619140625,27957.5,27992.830078125,9638.7998046875,1665.66003417969
2015-05-25,2115.13000488281,20413.76953125,6990.35009765625,5117.169921875,11720.0698242188,4813.7978515625,27643.880859375,28121.3447265625,9645.169921875,1655.40002441406
2015-05-26,2104.19995117188,20437.48046875,6949,5083.5400390625,11625.1298828125,4910.89697265625,27531.41015625,28249.859375,9669.41015625,1651.66003417969
2015-05-27,2123.47998046875,20472.580078125,7033.2998046875,5182.52978515625,11771.1298828125,4941.7138671875,27564.66015625,28081.2109375,9693.5400390625,1660.97998046875
2015-05-28,2120.7900390625,20551.4609375,7040.89990234375,5137.830078125,11677.5703125,4620.26611328125,27506.7109375,27454.310546875,9712.83984375,1657.61999511719
2015-05-29,2107.38989257812,20563.150390625,6984.39990234375,5007.89013671875,11413.8203125,4611.744140625,27828.439453125,27424.189453125,9701.0703125,1609.18994140625
2015-06-01,2111.72998046875,20569.869140625,6953.60009765625,5025.2998046875,11436.0498046875,4828.73779296875,27848.990234375,27597.16015625,9625.6904296875,1616.93994140625
2015-06-02,2109.60009765625,20543.189453125,6928.2998046875,5004.4599609375,11328.7998046875,4910.52685546875,27188.380859375,27466.720703125,9614.259765625,1643.41003417969
2015-06-03,2114.07006835938,20473.509765625,6950.5,5034.169921875,11419.6201171875,4909.97802734375,26837.19921875,27657.470703125,9556.51953125,1628.86999511719
2015-06-04,2095.84008789062,20488.189453125,6859.2001953125,4987.1298828125,11340.599609375,4947.10205078125,26813.419921875,27551.890625,9348.6298828125,1638.06994628906
2015-06-05,2092.830078125,20460.900390625,6804.60009765625,4920.740234375,11197.150390625,5023.09619140625,26768.490234375,27260.16015625,9340.1298828125,1652.06994628906
2015-06-08,2079.28002929688,20457.189453125,6790,4857.66015625,11064.919921875,5131.880859375,26523.08984375,27316.279296875,9368.4296875,1646.89001464844
2015-06-09,2080.14990234375,20096.30078125,6753.7998046875,4850.22021484375,11001.2900390625,5113.5341796875,26481.25,26989.51953125,9191.8701171875,1664.01000976562
2015-06-10,2105.19995117188,20046.359375,6830.2998046875,4934.91015625,11265.3896484375,5106.0361328125,26840.5,26687.640625,9298.5,1653.08996582031
